seed,lambda,mu,rho,policy_name,preemptive,last_index,last_arrival,last_completion,totdelay,totservice,totwait,interarr,wait,delay,service,innode,inq,util,maxqlen
100000,2.000000,0.200000,0.100000,SJF,0,1000000,2000592.250000,2000592.500000,21141.283203,199665.156250,220806.437500,2.000592,0.220806,0.021141,0.199665,0.110371,0.010568,0.099803,6
100000,2.000000,0.200000,0.100000,SJF,1,1000000,2000592.250000,2000592.500000,13491.402344,199665.156250,213156.546875,2.000592,0.213157,0.013491,0.199665,0.106547,0.006744,0.099803,5
100000,2.000000,0.200000,0.100000,SRTF,1,1000000,2000592.250000,2000592.500000,10789.039062,199665.156250,210454.187500,2.000592,0.210454,0.010789,0.199665,0.105196,0.005393,0.099803,5
100000,2.000000,0.200000,0.100000,PS,0,1000000,2000592.250000,2000592.500000,22178.251953,199665.156250,221843.390625,2.000592,0.221843,0.022178,0.199665,0.110889,0.011086,0.099803,6
100000,2.000000,0.200000,0.100000,PS,1,1000000,2000592.250000,2000592.500000,22184.978516,199665.156250,221850.125000,2.000592,0.221850,0.022185,0.199665,0.110892,0.011089,0.099803,7
1000000,2.000000,0.200000,0.100000,FCFS,0,1000000,1999762.250000,1999762.375000,22183.808594,199535.250000,221719.062500,1.999762,0.221719,0.022184,0.199535,0.110873,0.011093,0.099779,7
1000000,2.000000,0.200000,0.100000,FCFS,1,1000000,1999762.250000,1999762.375000,22183.095703,199535.250000,221718.359375,1.999762,0.221718,0.022183,0.199535,0.110872,0.011093,0.099779,8
1000000,2.000000,0.200000,0.100000,LCFS,0,1000000,1999762.250000,1999762.375000,22204.111328,199535.250000,221739.359375,1.999762,0.221739,0.022204,0.199535,0.110883,0.011103,0.099779,7
1000000,2.000000,0.200000,0.100000,LCFS,1,1000000,1999762.250000,1999762.375000,22157.380859,199535.250000,221692.625000,1.999762,0.221693,0.022157,0.199535,0.110859,0.011080,0.099779,7
1000000,2.000000,0.200000,0.100000,SJF,0,1000000,1999762.250000,1999762.375000,21173.267578,199535.250000,220708.515625,1.999762,0.220709,0.021173,0.199535,0.110367,0.010588,0.099779,7
1000000,2.000000,0.200000,0.100000,SJF,1,1000000,1999762.250000,1999762.375000,13542.515625,199535.250000,213077.765625,1.999762,0.213078,0.013543,0.199535,0.106552,0.006772,0.099779,5
1000000,2.000000,0.200000,0.100000,SRTF,1,1000000,1999762.250000,1999762.375000,10836.532227,199535.250000,210371.781250,1.999762,0.210372,0.010837,0.199535,0.105198,0.005419,0.099779,5
1000000,2.000000,0.200000,0.100000,PS,0,1000000,1999762.250000,1999762.375000,22198.044922,199535.250000,221733.296875,1.999762,0.221733,0.022198,0.199535,0.110880,0.011100,0.099779,7
1000000,2.000000,0.200000,0.100000,PS,1,1000000,1999762.250000,1999762.375000,22134.304688,199535.250000,221669.546875,1.999762,0.221670,0.022134,0.199535,0.110848,0.011068,0.099779,7
1,2.000000,0.400000,0.200000,FCFS,0,1000000,1996801.375000,1996801.500000,99694.132812,399466.687500,499160.843750,1.996801,0.499161,0.099694,0.399467,0.249980,0.049927,0.200053,7
1,2.000000,0.400000,0.200000,FCFS,1,1000000,1996801.375000,1996801.500000,99697.359375,399466.687500,499164.062500,1.996801,0.499164,0.099697,0.399467,0.249982,0.049929,0.200053,10
1,2.000000,0.400000,0.200000,LCFS,0,1000000,1996801.375000,1996801.500000,99642.656250,399466.687500,499109.375000,1.996801,0.499109,0.099643,0.399467,0.249954,0.049901,0.200053,7
1,2.000000,0.400000,0.200000,LCFS,1,1000000,1996801.375000,1996801.500000,98993.351562,399466.687500,498460.062500,1.996801,0.498460,0.098993,0.399467,0.249629,0.049576,0.200053,11
1,2.000000,0.400000,0.200000,SJF,0,1000000,1996801.375000,1996801.500000,91420.953125,399466.687500,490887.656250,1.996801,0.490888,0.091421,0.399467,0.245837,0.045784,0.200053,7
1,2.000000,0.400000,0.200000,SJF,1,1000000,1996801.375000,1996801.500000,59072.894531,399466.687500,458539.593750,1.996801,0.458540,0.059073,0.399467,0.229637,0.029584,0.200053,6
1,2.000000,0.400000,0.200000,SRTF,1,1000000,1996801.375000,1996801.500000,47318.070312,399466.687500,446784.781250,1.996801,0.446785,0.047318,0.399467,0.223750,0.023697,0.200053,6
1,2.000000,0.400000,0.200000,PS,0,1000000,1996801.375000,1996801.500000,99660.742188,399466.687500,499127.468750,1.996801,0.499127,0.099661,0.399467,0.249963,0.049910,0.200053,7
